Type,ID,Weight,Volume,Estimate_Density,Mean_HU_unit
Calibration,KK3-1H/2,68.612,59.1942766829,1.15909854541428,3553.30803937007
Calibration,KK1-2/1,42.712,42.475235626,1.00557417446921,3016.68720314961
Calibration,Calib core,61.856,42.5352170148,1.45423026708615,4755.98370686071
Validation,PK1-2/1,114.409,106.2431698168,1.07685981317463,3300.82771785714
Validation,SP1-1/1,93.276,75.0179111579001,1.24338306092887,3935.44279223745
Validation,PK2-1/1,134.296,110.9408335405,1.21051911829177,3824.68411727417
Validation,PK4-1/1,100.619,77.4695354587,1.29882023177538,4006.4795731441
