distance,rdistance,HU
21.8473,12.817,3513.923
21.9443,12.914,3443.815
22.0413,13.011,3387.84
22.1383,13.108,3529.257
22.2363,13.206,3688.156
22.3333,13.303,3787.884
22.4303,13.4,3798.686
22.5273,13.497,3656.704
22.6243,13.594,3688.077
22.7213,13.691,3772.23
22.8183,13.788,3894.077
22.9153,13.885,3861.961
23.0123,13.982,3613.069
23.1103,14.08,3634.607
23.2073,14.177,3750.852
23.3043,14.274,3749.149
23.4013,14.371,3719.422
23.4983,14.468,3771.412
23.5953,14.565,3829.666
23.6923,14.662,3839.69
23.7893,14.759,3821.222
23.8863,14.856,3836.11
23.9833,14.953,3852.015
24.0803,15.05,3866.4
24.1783,15.148,3938.257
24.2753,15.245,4020.237
24.3723,15.342,3906.238
24.4693,15.439,3876.578
24.5663,15.536,4043.309
24.6633,15.633,4116.074
24.7603,15.73,4141.752
24.8573,15.827,4007.047
24.9543,15.924,3965.07
25.0513,16.021,4119.289
25.1493,16.119,4226.255
25.2463,16.216,4200.671
25.3433,16.313,4195.142
25.4403,16.41,4110.542
25.5373,16.507,4068.613
25.6343,16.604,4108.643
25.7313,16.701,4208.138
25.8283,16.798,4181.725
25.9253,16.895,4139.821
26.0233,16.993,4172.396
26.1203,17.09,4225.144
26.2173,17.187,4353.109
26.3143,17.284,4362.691
26.4113,17.381,4270.253
26.5083,17.478,4261.076
26.6053,17.575,4334.389
26.7023,17.672,4442.709
26.7993,17.769,4469.36
26.8963,17.866,4321.75
26.9933,17.963,4202.046
27.0913,18.061,4154.288
27.1883,18.158,4051.247
27.2853,18.255,3950.727
27.3823,18.352,4022.162
27.4793,18.449,4043.14
27.5763,18.546,3963.489
27.6733,18.643,3931.12
27.7703,18.74,3994.602
27.8673,18.837,4016.066
27.9643,18.934,4009.176
28.0623,19.032,3940.861
28.1593,19.129,4007.583
28.2563,19.226,4214.591
28.3533,19.323,4298.622
28.4503,19.42,4258.219
28.5473,19.517,4186.978
28.6443,19.614,4137.942
28.7413,19.711,4041.512
28.8383,19.808,3990.654
28.9363,19.906,4066.318
29.0333,20.003,4210.156
29.1303,20.1,4389.41
29.2273,20.197,4369.169
29.3243,20.294,4321.883
29.4213,20.391,4295.302
29.5183,20.488,4247.045
29.6153,20.585,4160.968
29.7123,20.682,4149.191
29.8093,20.779,4133.825
29.9063,20.876,4177.712
30.0043,20.974,4222.643
30.1013,21.071,4244.472
30.1983,21.168,4208.928
30.2953,21.265,4161.15
30.3923,21.362,4184.179
30.4893,21.459,4184.664
30.5863,21.556,4202.291
30.6833,21.653,4246.285
30.7803,21.75,4359.008
30.8773,21.847,4409.062
30.9753,21.945,4375.351
31.0723,22.042,4238.725
31.1693,22.139,4188.294
31.2663,22.236,4381.098
31.3633,22.333,4487.599
31.4603,22.43,4412.901
31.5573,22.527,4262.982
31.6543,22.624,4029.981
31.7513,22.721,4177.577
31.8493,22.819,4354.757
31.9463,22.916,4385.743
32.0433,23.013,4403.579
32.1403,23.11,4317.268
32.2373,23.207,4259.973
32.3343,23.304,4255.458
32.4313,23.401,4172.732
32.5283,23.498,4099.353
32.6253,23.595,4119.928
32.7223,23.692,4119.946
32.8193,23.789,4156.846
32.9173,23.887,4180.992
33.0143,23.984,4137.867
33.1113,24.081,4065.126
33.2083,24.178,4025.431
33.3053,24.275,3975.224
33.4023,24.372,3980.199
33.4993,24.469,3926.5
33.5963,24.566,3809.467
33.6933,24.663,3638.252
33.7903,24.76,3608.392
33.8883,24.858,3589.299
33.9853,24.955,3629.814
34.0823,25.052,3696.602
34.1793,25.149,3531.023
34.2763,25.246,3368.861
34.3733,25.343,3266.117
34.4703,25.44,3333.572
34.5673,25.537,3526.526
34.6643,25.634,3586.589
34.7623,25.732,3553.671
34.8593,25.829,3461.321
34.9563,25.926,3268.185
35.0533,26.023,2988.179
35.1503,26.12,3113.945
35.2473,26.217,3269.976
35.3443,26.314,3316.967
35.4413,26.411,3326.01
35.5383,26.508,3403.442
35.6353,26.605,3357.352
35.7323,26.702,3229.975
35.8303,26.8,3327.014
35.9273,26.897,3346.24
36.0243,26.994,3147.789
36.1213,27.091,3139.118
36.2183,27.188,3189.381
36.3153,27.285,3437.417
36.4123,27.382,3697.131
36.5093,27.479,3678.104
36.6063,27.576,3599.275
36.7043,27.674,3534.739
36.8013,27.771,3476.294
36.8983,27.868,3429.285
36.9953,27.965,3477.296
37.0923,28.062,3563.319
37.1893,28.159,3464.881
37.2863,28.256,3504.595
37.3833,28.353,3692.171
37.4803,28.45,3730.323
37.5773,28.547,3543.279
37.6753,28.645,3789.479
37.7723,28.742,4037.185
37.8693,28.839,3625.654
37.9663,28.936,3437.177
38.0633,29.033,3528.663
38.1603,29.13,3502.463
38.2573,29.227,3423.51
38.3543,29.324,3317.693
38.4513,29.421,3314.761
38.5483,29.518,3451.521
38.6453,29.615,3519.044
38.7433,29.713,3586.842
38.8403,29.81,3658.076
38.9373,29.907,3636.901
39.0343,30.004,3509.151
39.1313,30.101,3403.107
39.2283,30.198,3516.333
39.3253,30.295,3461.01
39.4223,30.392,3356.552
39.5193,30.489,3394.058
39.6173,30.587,3503.363
39.7143,30.684,3493.247
39.8113,30.781,3471.036
39.9083,30.878,3477.993
40.0053,30.975,3364.487
40.1023,31.072,3238.039
40.1993,31.169,3301.156
40.2963,31.266,3426.851
40.3933,31.363,3408.933
40.4903,31.46,3364.328
40.5883,31.558,3402.345
40.6853,31.655,3399.718
40.7823,31.752,3377.579
40.8793,31.849,3382.127
40.9763,31.946,3432.797
41.0733,32.043,3459.982
41.1703,32.14,3470.492
41.2673,32.237,3454.116
41.3643,32.334,3452.896
41.4613,32.431,3581.542
41.5583,32.528,3581.522
41.6563,32.626,3549.233
41.7533,32.723,3486.743
41.8503,32.82,3434.795
41.9473,32.917,3549.791
42.0443,33.014,3551.42
42.1413,33.111,3479.141
42.2383,33.208,3522.883
42.3353,33.305,3626.599
42.4323,33.402,3651.151
42.5303,33.5,3712.648
42.6273,33.597,3819.503
