distance,HU
34.471,3716.671
34.568,3576.134
34.665,3713.318
34.762,4084.688
34.859,3954.917
34.956,3778.478
35.053,3865.988
35.15,3870.238
35.247,4105.448
35.344,4270.716
35.442,4409.048
35.539,4054.345
35.636,3809.047
35.733,3674.731
35.83,3587.313
35.927,3659.061
36.024,3731.967
36.121,3620.32
36.218,3767.283
36.315,3892.495
36.412,3874.256
36.51,3885.407
36.607,3585.146
36.704,3623.626
36.801,3490.15
36.898,3397.598
36.995,3391.496
37.092,3402.378
37.189,3406.142
37.286,3976.487
37.383,4438.737
37.481,4629.667
37.578,4211.893
37.675,3941.231
37.772,3715.852
37.869,3947.436
37.966,4322.385
38.063,4375.292
38.16,4602.812
38.257,4621.04
38.354,4548.643
38.452,4734.939
38.549,4401.843
38.646,4071.036
38.743,3836.95
38.84,3885.848
38.937,4229.89
39.034,4469.187
39.131,4280.512
39.228,4108.689
39.326,3904.074
39.423,3790.912
39.52,3864.083
39.617,3820.551
39.714,3887.04
39.811,4035.735
39.908,4176.407
40.005,4473.148
40.102,4299.927
40.199,4542.156
40.297,4737.415
40.394,4878.778
40.491,4777.29
40.588,4511.42
40.685,4082.028
40.782,4054.232
40.879,3893.745
40.976,4109.046
41.073,4294.018
41.17,4476.388
41.268,4320.703
41.365,4286.628
41.462,4069.69
41.559,3769.268
41.656,3571.049
41.753,3767.384
41.85,3571.535
41.947,4206.376
42.044,4267.26
42.141,4150.791
42.238,4365.745
42.336,4209.588
42.433,3954.15
42.53,4387.046
42.627,4890.429
42.724,4655.361
42.821,4063.898
42.918,4351.813
43.015,4563.231
43.112,4623.171
43.209,4683.522
43.307,4309.391
43.404,4391.486
43.501,4752.136
43.598,4784.196
43.695,4716.725
43.792,4804.434
43.889,4605.092
43.986,4708.34
44.083,4828.779
44.181,4456.251
44.278,4214.533
44.375,3573.982
44.472,3361.473
44.569,3748.985
44.666,4081.346
44.763,3644.297
44.86,3597.62
44.957,3503.154
45.054,3297.691
45.152,3670.944
45.249,4118.612
45.346,3700.311
45.443,4051.097
45.54,4166.203
45.637,4011.213
45.734,3881.089
45.831,3376.929
45.928,3603.887
46.025,3486.248
46.123,3620.69
46.22,4173.622
46.317,4336.304
46.414,3952.267
46.511,4527.084
46.608,4446.121
46.705,4169.604
46.802,4295.688
46.899,4219.749
46.996,4321.297
47.093,4613.596
47.191,4312.79
47.288,4161.197
47.385,4494.082
47.482,4627.651
47.579,4485.488
47.676,4084.408
47.773,3977.632
47.87,4316.986
47.967,4499.848
48.064,4530.361
48.162,4297.758
48.259,4628.718
48.356,4676.269
48.453,4656.854
48.55,4603.905
48.647,4729.867
48.744,4731.569
48.841,4425.44
48.938,4522.572
49.035,4219.587
49.133,4302.538
49.23,4724.509
49.327,4643.593
49.424,4550.094
49.521,4294.231
49.618,4581.841
49.715,4472.594
49.812,5194.999
49.909,4979.24
50.007,4636.423
50.104,4487.563
50.201,4428.883
50.298,4487.016
50.395,4415.575
50.492,4639.42
50.589,4491.608
50.686,4275.634
50.783,4608.663
50.88,4727.199
50.978,4639.609
51.075,4656.585
51.172,4732.598
51.269,4230.603
51.366,4380.964
51.463,4536.878
51.56,4318.143
51.657,4275.314
51.754,4250.628
51.851,4211.665
51.949,4269.156
52.046,4239.929
52.143,4395.479
52.24,4661.764
52.337,4547.708
52.434,4499.313
52.531,4551.957
52.628,4703.312
52.725,4816.201
52.822,5037.246
52.919,4940.707
53.017,4599.832
53.114,4121.101
53.211,3803.287
53.308,3854.066
53.405,4039.077
53.502,4108.251
53.599,4044.338
53.696,4199.555
53.793,4207.956
53.89,4044.646
53.988,4436.594
54.085,4387.525
54.182,4321.883
54.279,4347.922
54.376,4226.155
54.473,4239.264
54.57,4253.573
54.667,4592.461
54.764,4486.813
54.861,4636.409
54.959,4254.268
55.056,3770.287
55.153,3884.17
55.25,4242.81
