,top: 2019/4/27,,"Sample Site: -15.88526667, 54.52396667",,,,,,,,,,
,Sample name,Slab,Line,Sample No.,Distance from the top (mm),Sr407/Ca317,Age by OISSTR v2.1,YR,M,D,Age by OISSTR v2.1,,Sr/Ca
,TROM2,1,1,1,0.5,8.75450226051006,27/04/2019,2019,4,27,2019.32118412047,,
,TROM2,1,1,2,1,8.72119735594779,05/04/2019 12:00:00,2019,4,5,2019.26095140315,,
,TROM2,1,1,3,1.5,8.71784328537286,15/03/2019,2019,3,15,2019.20499657769,,
,TROM2,1,1,4,2,8.72880550789013,04/03/2019 22:40:00,2019,3,4,2019.17488021903,,
,TROM2,1,1,5,2.5,8.74639018949494,22/02/2019 21:20:00,2019,2,22,2019.14082819986,,
,TROM2,1,1,6,3,8.76477116113859,12/02/2019 20:00:00,2019,2,12,2019.11344969199,,
,TROM2,1,1,7,3.5,8.77671754437573,02/02/2019 18:40:00,2019,2,2,2019.08607118412,,
,TROM2,1,1,8,4,8.78244741990326,23/01/2019 17:20:00,2019,1,23,2019.06023271732,,
,TROM2,1,1,9,4.5,8.7935035261255,13/01/2019 16:00:00,2019,1,13,2019.03285420945,,
,TROM2,1,1,10,5,8.78906192697776,03/01/2019 14:40:00,2019,1,3,2019.00547570157,,
,TROM2,1,1,11,5.5,8.80483425867114,24/12/2018 13:20:00,2018,12,24,2018.97963723477,,
,TROM2,1,1,12,6,8.82669795477682,14/12/2018 12:00:00,2018,12,14,2018.9522587269,,
,TROM2,1,1,13,6.5,8.84200606769116,04/12/2018 10:40:00,2018,12,4,2018.92488021903,,
,TROM2,1,1,14,7,8.86687327182812,24/11/2018 09:20:00,2018,11,24,2018.89630390144,,
,TROM2,1,1,15,7.5,8.92390880959937,14/11/2018 08:00:00,2018,11,14,2018.86892539357,,
,TROM2,1,1,16,8,8.94007565260814,04/11/2018 06:40:00,2018,11,4,2018.84154688569,,Sr/Ca Age Model
,TROM2,1,1,17,8.5,8.96812150312724,25/10/2018 05:20:00,2018,10,25,2018.81570841889,,
,TROM2,1,1,18,9,8.98733453524543,15/10/2018 04:00:00,2018,10,15,2018.78832991102,,
,TROM2,1,1,19,9.5,9.00607996816427,05/10/2018 02:40:00,2018,10,5,2018.76095140315,,
,TROM2,1,1,20,10,9.01711891480701,25/09/2018 01:20:00,2018,9,25,2018.73237508556,,
,TROM2,1,1,21,10.5,9.02184424005854,15/09/2018,2018,9,15,2018.70499657769,,
,TROM2,1,1,22,11,8.92170911094227,29/08/2018 16:36:55,2018,8,29,2018.65999315537,,
,TROM2,1,1,23,11.5,8.94417827301993,13/08/2018 09:13:50,2018,8,13,2018.61618754278,,
,TROM2,1,1,24,12,8.89292182016643,28/07/2018 01:50:46,2018,7,28,2018.57392197125,,
,TROM2,1,1,25,12.5,8.86258848108538,11/07/2018 18:27:41,2018,7,11,2018.52737850787,,
,TROM2,1,1,26,13,8.8429258587875,25/06/2018 11:04:36,2018,6,25,2018.48237508556,,
,TROM2,1,1,27,13.5,8.82615676254059,09/06/2018 03:41:32,2018,6,9,2018.43856947296,,
,TROM2,1,1,28,14,8.81288900851647,23/05/2018 20:18:27,2018,5,23,2018.39356605065,,
,TROM2,1,1,29,14.5,8.81736025666256,07/05/2018 12:55:23,2018,5,7,2018.34976043806,,
,TROM2,1,1,30,15,8.8190285783464,21/04/2018 05:32:18,2018,4,21,2018.30475701574,,
,TROM2,1,1,31,15.5,8.83908607447731,04/04/2018 22:09:13,2018,4,4,2018.25821355236,,
,TROM2,1,1,32,16,8.82196500436281,19/03/2018 14:46:09,2018,3,19,2018.21594798084,,
,TROM2,1,1,33,16.5,8.80979332699938,03/03/2018 07:23:04,2018,3,3,2018.17214236824,,anchoring points of summer
,TROM2,1,1,34,17,8.80049422214967,15/02/2018,2018,2,15,2018.12166324435,,anchoring points of winter
,TROM2,1,1,35,17.5,8.83869808822034,30/01/2018 16:00:00,2018,1,30,2018.07939767283,,
,TROM2,1,1,36,18,8.82252004857861,15/01/2018 08:00:00,2018,1,15,2018.03832991102,,
,TROM2,1,1,37,18.5,8.83225896163911,31/12/2017 00:00:00,2017,12,30,2017.99606433949,,
,TROM2,1,1,38,19,8.84791915056876,15/12/2017 16:00:00,2017,12,15,2017.95499657769,,
,TROM2,1,1,39,19.5,8.86814441623404,30/11/2017 08:00:00,2017,11,30,2017.91273100616,,
,TROM2,1,1,40,20,8.87496840960079,15/11/2017 00:00:00,2017,11,14,2017.86892539357,,
,TROM2,1,1,41,20.5,8.85773150002211,30/10/2017 16:00:00,2017,10,30,2017.82939767283,,
,TROM2,1,1,42,21,8.90890726785831,15/10/2017 08:00:00,2017,10,15,2017.78832991102,,
,TROM2,1,1,43,21.5,8.92905826430522,30/09/2017 00:00:00,2017,9,29,2017.74332648871,,
,TROM2,1,1,44,22,8.9299454331707,14/09/2017 16:00:00,2017,9,14,2017.7022587269,,
,TROM2,1,1,45,22.5,8.92585779371979,30/08/2017 08:00:00,2017,8,30,2017.66273100616,,
,TROM2,1,1,46,23,8.94019332385066,15/08/2017,2017,8,15,2017.62166324435,,
,TROM2,1,1,47,23.5,8.94008069766729,30/07/2017 16:48:00,2017,7,30,2017.57939767283,,
,TROM2,1,1,48,24,8.93104727512661,15/07/2017 09:36:00,2017,7,15,2017.53832991102,,
,TROM2,1,1,49,24.5,8.92491883314266,30/06/2017 02:24:00,2017,6,30,2017.49606433949,,
,TROM2,1,1,50,25,8.8823814461518,14/06/2017 19:12:00,2017,6,14,2017.4522587269,,
,TROM2,1,1,51,25.5,8.84744399172198,30/05/2017 12:00:00,2017,5,30,2017.41273100616,,
,TROM2,1,1,52,26,8.82387724289685,15/05/2017 04:48:00,2017,5,15,2017.37166324435,,
,TROM2,1,1,53,26.5,8.81287274939892,29/04/2017 21:36:00,2017,4,29,2017.32665982204,,
,TROM2,1,1,54,27,8.80480867548293,14/04/2017 14:24:00,2017,4,14,2017.28559206023,,
,TROM2,1,1,55,27.5,8.79085758610353,30/03/2017 07:12:00,2017,3,30,2017.24606433949,,
,TROM2,1,1,56,28,8.78269590659171,15/03/2017,2017,3,15,2017.20499657769,,
,TROM2,1,1,57,28.5,8.78979956278428,05/03/2017 11:22:06,2017,3,5,2017.17761806981,,
,TROM2,1,1,58,29,8.80974105992067,23/02/2017 22:44:12,2017,2,23,2017.14356605065,,
,TROM2,1,1,59,29.5,8.78857058820572,14/02/2017 10:06:18,2017,2,14,2017.11892539357,,
,TROM2,1,1,60,30,8.80862656525918,04/02/2017 21:28:25,2017,2,4,2017.09154688569,,
,TROM2,1,1,61,30.5,8.8133819713541,26/01/2017 08:50:31,2017,1,26,2017.06844626968,,
,TROM2,1,1,62,31,8.82626891280649,16/01/2017 20:12:37,2017,1,16,2017.04106776181,,
,TROM2,1,1,63,31.5,8.82867770262275,07/01/2017 07:34:44,2017,1,7,2017.01642710472,,
,TROM2,1,1,64,32,8.83507994503261,28/12/2016 18:56:50,2016,12,28,2016.99058863792,,
,TROM2,1,1,65,32.5,8.84693390204138,19/12/2016 06:18:56,2016,12,19,2016.96594798083,,
,TROM2,1,1,66,33,8.86808419776969,09/12/2016 17:41:03,2016,12,9,2016.93856947296,,
,TROM2,1,1,67,33.5,8.90326585163924,30/11/2016 05:03:09,2016,11,30,2016.91273100616,,
,TROM2,1,1,68,34,8.93496726466096,20/11/2016 16:25:15,2016,11,20,2016.88535249829,,
,TROM2,1,1,69,34.5,8.94061892777983,11/11/2016 03:47:22,2016,11,11,2016.8607118412,,
,TROM2,1,1,70,35,8.95985718833772,01/11/2016 15:09:28,2016,11,1,2016.83333333333,,
,TROM2,1,1,71,35.5,8.98104390068092,23/10/2016 02:31:34,2016,10,23,2016.81023271732,,
,TROM2,1,1,72,36,9.01241579069066,13/10/2016 13:53:41,2016,10,13,2016.78285420945,,
,TROM2,1,1,73,36.5,9.00273056682794,04/10/2016 01:15:47,2016,10,4,2016.75821355236,,
,TROM2,1,1,74,37,9.01720961505417,24/09/2016 12:37:53,2016,9,24,2016.72963723477,,
,TROM2,1,1,75,37.5,9.03363288514986,15/09/2016,2016,9,15,2016.70499657769,,
,TROM2,1,1,76,38,8.99046360885797,06/07/2016,2016,7,6,2016.51368925394,,
,TROM2,1,1,77,38.5,8.86462731621068,26/04/2016,2016,4,26,2016.31844626968,,
,TROM2,1,1,78,39,8.86334587507814,15/02/2016,2016,2,15,2016.12166324435,,
,TROM2,1,1,79,39.5,8.8735707340462,29/01/2016 02:40:00,2016,1,29,2016.07665982204,,
,TROM2,1,1,80,40,8.86890336846802,12/01/2016 05:20:00,2016,1,12,2016.03011635866,,
,TROM2,1,1,81,40.5,8.89347366008939,26/12/2015 08:00:00,2015,12,26,2015.98511293634,,
,TROM2,1,1,82,41,8.90183056933056,09/12/2015 10:40:00,2015,12,9,2015.93856947296,,
,TROM2,1,1,83,41.5,8.93520627577379,22/11/2015 13:20:00,2015,11,22,2015.89082819986,,
,TROM2,1,1,84,42,8.95097199369292,05/11/2015 16:00:00,2015,11,5,2015.84428473648,,
,TROM2,1,1,85,42.5,8.96478807990137,19/10/2015 18:40:00,2015,10,19,2015.79928131417,,
,TROM2,1,1,86,43,8.95880548694128,02/10/2015 21:20:00,2015,10,2,2015.75273785079,,
,TROM2,1,1,87,43.5,8.98582105698896,16/09/2015,2015,9,16,2015.70773442847,,
,TROM2,1,1,88,44,8.97420349821503,23/08/2015 21:00:00,2015,8,23,2015.64356605065,,
,TROM2,1,1,89,44.5,8.93183444645992,31/07/2015 18:00:00,2015,7,31,2015.58213552361,,
,TROM2,1,1,90,45,8.91063908702554,08/07/2015 15:00:00,2015,7,8,2015.51916495551,,
,TROM2,1,1,91,45.5,8.87630389728223,15/06/2015 12:00:00,2015,6,15,2015.45499657769,,
,TROM2,1,1,92,46,8.83378144672894,23/05/2015 09:00:00,2015,5,23,2015.39356605065,,
,TROM2,1,1,93,46.5,8.83017488164573,30/04/2015 06:00:00,2015,4,30,2015.32939767283,,
,TROM2,1,1,94,47,8.81149365501043,07/04/2015 03:00:00,2015,4,7,2015.26642710472,,
,TROM2,1,1,95,47.5,8.78338622039986,15/03/2015,2015,3,15,2015.20499657769,,
,TROM2,1,1,96,48,8.78453177043054,03/03/2015 18:00:00,2015,3,3,2015.17214236824,,
,TROM2,1,1,97,48.5,8.79977476038712,20/02/2015 12:00:00,2015,2,20,2015.13535249829,,
,TROM2,1,1,98,49,8.79751254788802,09/02/2015 06:00:00,2015,2,9,2015.10523613963,,
,TROM2,1,1,99,49.5,8.81300367178945,29/01/2015,2015,1,29,2015.07665982204,,
,TROM2,1,1,100,50,8.84144773727216,17/01/2015 18:00:00,2015,1,17,2015.04380561259,,
,TROM2,1,1,101,50.5,8.85583997263816,06/01/2015 12:00:00,2015,1,6,2015.01368925394,,
,TROM2,1,1,102,51,8.82611522401023,26/12/2014 06:00:00,2014,12,26,2014.98511293634,,
,TROM2,1,1,103,51.5,8.81158503034614,15/12/2014,2014,12,15,2014.95499657769,,
,TROM2,1,1,104,52,8.83722507034914,20/11/2014 14:24:00,2014,11,20,2014.88535249829,,
,TROM2,1,1,105,52.5,8.86331118477325,27/10/2014 04:48:00,2014,10,27,2014.82118412047,,
,TROM2,1,1,106,53,8.89392551403618,02/10/2014 19:12:00,2014,10,2,2014.75273785079,,
,TROM2,1,1,107,53.5,8.92304800533596,08/09/2014 09:36:00,2014,9,8,2014.68583162218,,
,TROM2,1,1,108,54,8.99667908782279,15/08/2014,2014,8,15,2014.62166324435,,
,TROM2,1,1,109,54.5,8.97052045879513,02/08/2014 22:24:00,2014,8,2,2014.58607118412,,
,TROM2,1,1,110,55,8.98255831260611,21/07/2014 20:48:00,2014,7,21,2014.55475701574,,
,TROM2,1,1,111,55.5,8.99134215815722,09/07/2014 19:12:00,2014,7,9,2014.5219028063,,
,TROM2,1,1,112,56,8.96144514065417,27/06/2014 17:36:00,2014,6,27,2014.48785078713,,
,TROM2,1,1,113,56.5,8.92213129192499,15/06/2014 16:00:00,2014,6,15,2014.45499657769,,
,TROM2,1,1,114,57,8.90401517987636,03/06/2014 14:24:00,2014,6,3,2014.42214236824,,
,TROM2,1,1,115,57.5,8.81439073274799,22/05/2014 12:48:00,2014,5,22,2014.39082819986,,
