"distance" "date" "SrCa_ratio"
0.5 2019-04-26 8.75450226051006
1 2019-03-29 8.72119735594779
1.5 2019-03-01 8.71784328537286
2 2019-02-21 8.72880550789013
2.5 2019-02-12 8.74639018949494
3 2019-02-04 8.76477116113859
3.5 2019-01-27 8.77671754437573
4 2019-01-18 8.78244741990326
4.5 2019-01-10 8.7935035261255
5 2019-01-01 8.78906192697776
5.5 2018-12-24 8.80483425867114
6 2018-12-16 8.82669795477682
6.5 2018-12-07 8.84200606769116
7 2018-11-29 8.86687327182812
7.5 2018-11-20 8.92390880959937
8 2018-11-12 8.94007565260814
8.5 2018-11-03 8.96812150312724
9 2018-10-26 8.98733453524543
9.5 2018-10-18 9.00607996816427
10 2018-10-09 9.01711891480701
10.5 2018-10-01 9.02184424005854
11 2018-09-14 8.92170911094227
11.5 2018-08-29 8.94417827301993
12 2018-08-13 8.89292182016643
12.5 2018-07-27 8.86258848108538
13 2018-07-11 8.8429258587875
13.5 2018-06-24 8.82615676254059
14 2018-06-08 8.81288900851647
14.5 2018-05-22 8.81736025666256
15 2018-05-06 8.8190285783464
15.5 2018-04-20 8.83908607447731
16 2018-04-03 8.82196500436281
16.5 2018-03-18 8.80979332699938
17 2018-03-01 8.80049422214967
17.5 2018-02-17 8.83869808822034
18 2018-02-04 8.82252004857861
18.5 2018-01-22 8.83225896163911
19 2018-01-10 8.84791915056876
19.5 2017-12-28 8.86814441623404
20 2017-12-16 8.87496840960079
20.5 2017-12-03 8.85773150002211
21 2017-11-20 8.90890726785831
21.5 2017-11-08 8.92905826430522
22 2017-10-26 8.9299454331707
22.5 2017-10-13 8.92585779371979
23 2017-10-01 8.94019332385066
23.5 2017-09-09 8.94008069766729
24 2017-08-19 8.93104727512661
24.5 2017-07-29 8.92491883314266
25 2017-07-07 8.8823814461518
25.5 2017-06-16 8.84744399172198
26 2017-05-26 8.82387724289685
26.5 2017-05-04 8.81287274939892
27 2017-04-13 8.80480867548293
