"distance" "date" "SrCa_ratio"
27.5 2017-03-23 8.79085758610353
28 2017-03-01 8.78269590659171
28.5 2017-02-21 8.78979956278428
29 2017-02-13 8.80974105992067
29.5 2017-02-05 8.78857058820572
30 2017-01-28 8.80862656525918
30.5 2017-01-20 8.8133819713541
31 2017-01-12 8.82626891280649
31.5 2017-01-04 8.82867770262275
32 2016-12-27 8.83507994503261
32.5 2016-12-19 8.84693390204138
33 2016-12-11 8.86808419776969
33.5 2016-12-03 8.90326585163924
34 2016-11-25 8.93496726466096
34.5 2016-11-17 8.94061892777983
35 2016-11-09 8.95985718833772
35.5 2016-11-01 8.98104390068092
36 2016-10-24 9.01241579069066
36.5 2016-10-16 9.00273056682794
37 2016-10-08 9.01720961505417
37.5 2016-09-30 9.03363288514986
38 2016-07-21 8.99046360885797
38.5 2016-05-10 8.86462731621068
39 2016-02-29 8.86334587507814
39.5 2016-02-12 8.8735707340462
40 2016-01-27 8.86890336846802
40.5 2016-01-10 8.89347366008939
41 2015-12-24 8.90183056933056
41.5 2015-12-07 8.93520627577379
42 2015-11-20 8.95097199369292
42.5 2015-11-03 8.96478807990137
43 2015-10-18 8.95880548694128
43.5 2015-10-01 8.98582105698896
44 2015-09-04 8.97420349821503
44.5 2015-08-08 8.93183444645992
45 2015-07-13 8.91063908702554
45.5 2015-06-16 8.87630389728223
46 2015-05-20 8.83378144672894
46.5 2015-04-24 8.83017488164573
47 2015-03-28 8.81149365501043
47.5 2015-03-01 8.78338622039986
48 2015-02-18 8.78453177043054
48.5 2015-02-06 8.79977476038712
49 2015-01-25 8.79751254788802
49.5 2015-01-14 8.81300367178945
50 2015-01-02 8.84144773727216
50.5 2014-12-21 8.85583997263816
51 2014-12-10 8.82611522401023
51.5 2014-11-28 8.81158503034614
52 2014-11-16 8.83722507034914
52.5 2014-11-05 8.86331118477325
53 2014-10-24 8.89392551403618
53.5 2014-10-12 8.92304800533596
54 2014-10-01 8.99667908782279
54.5 2014-09-17 8.97052045879513
55 2014-09-02 8.98255831260611
55.5 2014-08-19 8.99134215815722
56 2014-08-05 8.96144514065417
56.5 2014-07-22 8.92213129192499
57 2014-07-07 8.90401517987636
57.5 2014-06-23 8.81439073274799
58 2014-06-09 8.82566540892424
58.5 2014-05-26 8.81356688388166
59 2014-05-11 8.80540785660007
59.5 2014-04-27 8.8024521490348
60 2014-04-13 8.81092456047012
60.5 2014-03-30 8.79407045227318
61 2014-03-16 8.80714797053858
61.5 2014-03-01 8.79235108882328
62 2014-02-12 8.81462098560472
62.5 2014-01-27 8.83053367882828
63 2014-01-10 8.84567469001066
63.5 2013-12-24 8.89758361685409
64 2013-12-07 8.90411676642089
64.5 2013-11-20 8.95494460840603
65 2013-11-03 8.97760389643019
65.5 2013-10-18 9.00445823853891
66 2013-10-01 9.02062359299587
66.5 2013-09-11 8.99275968731199
67 2013-08-23 8.99097619216803
67.5 2013-08-04 9.00946249097275
68 2013-07-15 8.98738575777405
68.5 2013-06-26 8.95296575009236
69 2013-06-06 8.92067487612387
69.5 2013-05-18 8.89545585712736
70 2013-04-29 8.86339177908224
70.5 2013-04-09 8.8575990578422
71 2013-03-21 8.839903878418
71.5 2013-03-01 8.81360961278348
72 2013-02-18 8.81626333105747
72.5 2013-02-06 8.83821171416214
73 2013-01-25 8.84684319779147
73.5 2013-01-14 8.84891084887211
74 2013-01-02 8.87953984182687
74.5 2012-12-20 8.86785320587114
75 2012-12-09 8.90006187609026
75.5 2012-11-27 8.94124642644477
76 2012-11-15 8.96918261075967
76.5 2012-11-04 9.01032314364168
77 2012-10-23 9.0155250090757
77.5 2012-10-11 9.03334374400121
78 2012-09-30 9.03606020338762
78.5 2012-09-13 9.02752382455839
79 2012-08-28 9.01285081386921
79.5 2012-08-12 9.01095253082829
80 2012-07-26 8.93513147859586
80.5 2012-07-10 8.91356724470161
81 2012-06-23 8.86248005300805
81.5 2012-06-07 8.84151157143789
82 2012-05-21 8.84155652532769
82.5 2012-05-05 8.84925260473525
83 2012-04-19 8.85440049091127
83.5 2012-04-02 8.83824946896917
84 2012-03-17 8.82703337608617
84.5 2012-02-29 8.80408580555943
85 2012-02-17 8.82384315823823
85.5 2012-02-04 8.80775471046029
86 2012-01-22 8.82234694049216
86.5 2012-01-10 8.83276577170521
87 2011-12-28 8.87282292197095
87.5 2011-12-16 8.90842966945883
88 2011-12-03 8.93522099498622
88.5 2011-11-20 8.97282027963717
89 2011-11-08 9.00888391056793
89.5 2011-10-26 9.04732497390966
90 2011-10-13 9.03853124969668
90.5 2011-10-01 9.06570564921209
91 2011-09-04 8.98824096909648
91.5 2011-08-08 8.96205768846443
92 2011-07-13 8.89474381968078
92.5 2011-06-16 8.84257682389473
93 2011-05-20 8.82515841284141
93.5 2011-04-24 8.8202394827405
94 2011-03-28 8.80889972404199
94.5 2011-03-01 8.80601626089066
95 2011-02-20 8.8220003050523
95.5 2011-02-12 8.81247150253372
96 2011-02-03 8.82481595714457
96.5 2011-01-25 8.83210425996384
97 2011-01-16 8.84994676972958
97.5 2011-01-07 8.83837086690125
98 2010-12-29 8.8382150330852
98.5 2010-12-20 8.8611260939787
99 2010-12-11 8.87858383398045
99.5 2010-12-02 8.91318027102577
100 2010-11-23 8.93265015869782
100.5 2010-11-14 8.96427335474109
101 2010-11-05 8.96509679738904
101.5 2010-10-28 8.99425717775153
102 2010-10-19 9.0059406912508
102.5 2010-10-10 9.04794426443169
103 2010-10-01 9.08074890790317
103.5 2010-09-11 9.00726292830118
104 2010-08-23 8.93679286700564
104.5 2010-08-04 8.88481350335514
105 2010-07-15 8.86052532660269
105.5 2010-06-26 8.81905388321591
106 2010-06-06 8.79443584893121
106.5 2010-05-18 8.79460586078451
107 2010-04-29 8.79302737002517
107.5 2010-04-09 8.78722711866007
108 2010-03-21 8.79840229593105
108.5 2010-03-01 8.78377165011948
109 2010-02-12 8.80043814081073
109.5 2010-01-27 8.81577835349502
110 2010-01-10 8.87366126688703
110.5 2009-12-24 8.88064220617192
111 2009-12-07 8.91635951619209
111.5 2009-11-20 8.96857562835342
112 2009-11-03 9.01757445048911
112.5 2009-10-18 9.03474096754256
113 2009-10-01 9.03692232751845
113.5 2009-09-14 9.01053763032878
114 2009-08-29 8.9901673089504
114.5 2009-08-13 8.94544791069594
115 2009-07-27 8.90144318627826
115.5 2009-07-11 8.88092653135539
116 2009-06-24 8.86958060803696
116.5 2009-06-08 8.84960194345715
117 2009-05-22 8.84892481702054
117.5 2009-05-06 8.79286729691265
118 2009-04-20 8.79518028480761
118.5 2009-04-03 8.79915813180931
119 2009-03-18 8.78454964303673
119.5 2009-03-01 8.7837056018697
120 0-01-01 8.80945073497137
120.5 0-01-01 8.81249056181456
121 0-01-01 8.81500532285465
121.5 0-01-01 8.80429527833783
122 0-01-01 8.8125848941118
122.5 0-01-01 8.85464101103702
123 0-01-01 8.89583411191772
123.5 0-01-01 8.90965180046668
124 0-01-01 8.9206696242553
124.5 0-01-01 8.96722737623693
125 0-01-01 8.98603993090927
125.5 0-01-01 9.01192463802176
126 0-01-01 9.01609605396298
126.5 0-01-01 8.99535614791253
127 0-01-01 8.95362260240242
127.5 0-01-01 8.96084880135241
128 0-01-01 8.9365461836445
