"YYYY" "MM" "DD" "SST_MIN" "SST_MAX" "SST90th_HS" "SSTA90th_HS" "90th_HS>0" "DHW_from_90th_HS>1" "BAA_7day_max"
"90" 1985 3 31 28.16 29.19 29.09 -0.0987 0 0 0
"91" 1985 4 1 28.07 29.29 29.11 -0.0761 0 0 0
"92" 1985 4 2 28.08 29.33 29.15 -0.0535 0 0 0
"93" 1985 4 3 27.95 28.98 28.68 -0.3729 0 0 0
"94" 1985 4 4 28.03 29.25 28.92 -0.1452 0 0 0
"95" 1985 4 5 28.09 29.45 29.03 -0.0339 0 0 0
"96" 1985 4 6 28.32 29.66 29.48 0.1371 0.05 0 1
"97" 1985 4 7 27.92 29.55 29.07 0.0129 0 0 1
"98" 1985 4 8 27.81 29.5 29.05 -0.011 0 0 1
"99" 1985 4 9 27.54 29.06 28.9 -0.4716 0 0 1
"100" 1985 4 10 26.32 27.88 27.76 -1.5697 0 0 1
"101" 1985 4 11 26.75 28.48 28.35 -1.0077 0 0 1
"102" 1985 4 12 27.04 28.8 28.62 -0.7458 0 0 1
"103" 1985 4 13 27.44 28.88 28.71 -0.6632 0 0 0
"104" 1985 4 14 27.64 29.66 29.3 -0.0606 0 0 0
"105" 1985 4 15 27.02 29.5 29.25 -0.13 0 0 0
"106" 1985 4 16 26.97 29.49 29.24 -0.1377 0 0 0
"107" 1985 4 17 27.13 29.7 29.59 0.2187 0.21 0 1
"108" 1985 4 18 27.36 29.91 29.87 0.493 0.48 0 1
"109" 1985 4 19 27.55 29.98 29.91 0.5347 0.52 0 1
"110" 1985 4 20 28.07 29.99 29.83 0.4767 0.46 0 1
"111" 1985 4 21 28.44 30.23 30.01 0.664 0.66 0 1
"112" 1985 4 22 28.69 30.42 30.13 0.7847 0.78 0 1
"113" 1985 4 23 29 30.16 29.89 0.5453 0.54 0 1
"114" 1985 4 24 29.05 29.81 29.57 0.356 0.32 0 1
"115" 1985 4 25 29.08 29.84 29.58 0.3567 0.31 0 1
"116" 1985 4 26 29.11 29.71 29.46 0.2403 0.2 0 1
"117" 1985 4 27 28.63 29.71 29.56 0.222 0.13 0 1
"118" 1985 4 28 28.26 29.67 29.53 0.1967 0.11 0 1
"119" 1985 4 29 28.65 29.5 29.44 0.1133 0.02 0 1
"120" 1985 4 30 28.34 29.58 29.46 0.135 0.05 0 1
"121" 1985 5 1 28.42 29.33 29.07 -0.2647 0 0 1
"122" 1985 5 2 28.37 29.25 29.07 -0.2433 0 0 1
"123" 1985 5 3 28.33 29.16 29.02 -0.31 0 0 1
"124" 1985 5 4 28.3 29.36 29.13 -0.1713 0 0 1
"125" 1985 5 5 28.32 29.27 29.15 -0.14 0 0 1
"126" 1985 5 6 28.07 29.32 29.09 -0.224 0 0 1
"127" 1985 5 7 28.69 29.28 28.9 0.07 0 0 0
"128" 1985 5 8 28.67 29.23 28.85 0.0023 0 0 0
"129" 1985 5 9 28.62 29 28.65 -0.162 0 0 0
"130" 1985 5 10 28.09 28.8 28.35 -0.4417 0 0 0
"131" 1985 5 11 27.95 28.74 28.3 -0.4813 0 0 0
"132" 1985 5 12 27.67 28.44 28.17 -0.63 0 0 0
"133" 1985 5 13 27.77 28.74 28.48 -0.3587 0 0 0
"134" 1985 5 14 27.47 28.77 28.65 -0.1793 0 0 0
"135" 1985 5 15 27.25 28.72 28.6 -0.21 0 0 0
"136" 1985 5 16 27.56 28.81 28.54 -0.1961 0 0 0
"137" 1985 5 17 28.07 29.28 28.92 0.1877 0 0 0
"138" 1985 5 18 28.33 29.33 28.91 0.1826 0 0 0
"139" 1985 5 19 28.32 29.33 29.08 3e-04 0 0 0
"140" 1985 5 20 28.46 29.31 29.16 0.1429 0 0 0
"141" 1985 5 21 28.06 29.55 29.21 0.0513 0 0 0
"142" 1985 5 22 27.93 30.11 29.78 0.4942 0.37 0 1
"143" 1985 5 23 27.57 30.26 30.01 0.7271 0.63 0 1
"144" 1985 5 24 27.68 30.16 30 0.7384 0.62 0 1
"145" 1985 5 25 28.11 29.93 29.8 0.5471 0.44 0 1
"146" 1985 5 26 28.22 29.71 29.56 0.3365 0.21 0 1
"147" 1985 5 27 28.16 29.28 29.14 -0.07 0 0 1
"148" 1985 5 28 27.62 28.9 28.66 -0.421 0 0 1
"149" 1985 5 29 27.5 28.9 28.76 -0.3135 0 0 1
"150" 1985 5 30 27.29 28.72 28.59 -0.481 0 0 1
"151" 1985 5 31 27.24 28.78 28.67 -0.3842 0 0 1
"152" 1985 6 1 27.5 29.18 28.98 -0.1584 0 0 1
"153" 1985 6 2 27.49 29.35 29.32 0.2848 0 0 0
"154" 1985 6 3 27.56 29.42 29.41 0.3945 0 0 0
"155" 1985 6 4 27.89 29.23 29.17 0.1629 0 0 0
"156" 1985 6 5 27.95 29.19 29.13 0.1268 0 0 0
"157" 1985 6 6 28.12 29.45 29.27 0.2587 0 0 0
"158" 1985 6 7 28.28 29.49 29.3 0.3052 0 0 0
"159" 1985 6 8 28.3 29.74 29.59 0.61 0.17 0 1
"160" 1985 6 9 28.34 29.8 29.68 0.7181 0.26 0 1
"161" 1985 6 10 27.88 29.56 29.43 0.4768 0.01 0 1
"162" 1985 6 11 27.8 29.2 28.93 -0.1474 0 0 1
"163" 1985 6 12 28.38 29.67 29.44 0.5523 0.13 0 1
"164" 1985 6 13 28.19 29.75 29.55 0.6748 0.24 0 1
"165" 1985 6 14 27.5 29.53 29.22 0.1513 0 0 1
"166" 1985 6 15 27.18 28.94 28.59 -0.46 0 0 1
"167" 1985 6 16 27.11 28.71 28.39 -0.6593 0 0 1
"168" 1985 6 17 27.29 28.71 28.33 -0.6987 0 0 1
"169" 1985 6 18 27.54 28.68 28.39 -0.628 0 0 1
"170" 1985 6 19 27.97 29.2 28.88 -0.126 0 0 1
"171" 1985 6 20 28.08 29.52 29.34 0.3383 0 0 0
"172" 1985 6 21 27.94 29.71 29.55 0.586 0.2 0 1
"173" 1985 6 22 27.81 29.75 29.63 0.677 0.28 0 1
"174" 1985 6 23 27.91 29.75 29.61 0.658 0.26 0 1
"175" 1985 6 24 28.35 29.82 29.74 0.816 0.4 0 1
"176" 1985 6 25 28.5 29.47 29.33 0.42 0 0 1
"177" 1985 6 26 27.53 29.1 28.96 0.274 0 0 1
"178" 1985 6 27 27.15 29.01 28.91 0.018 0 0 1
"179" 1985 6 28 27.35 29.28 29.17 0.2787 0 0 1
"180" 1985 6 29 27.68 29.75 29.54 0.614 0.17 0 1
"181" 1985 6 30 27.52 29.68 29.47 0.59 0.12 0 1
"182" 1985 7 1 27.6 29.61 29.46 0.5907 0.1 0 1
"183" 1985 7 2 27.7 29.43 29.39 0.564 0.01 0 1
"184" 1985 7 3 28.02 29.19 29.1 0.28 0 0 1
"185" 1985 7 4 28 28.91 28.8 0.008 0 0 1
"186" 1985 7 5 27.61 28.88 28.75 -0.1033 0 0 1
"187" 1985 7 6 28.16 28.92 28.8 -0.039 0 0 1
"188" 1985 7 7 28.16 28.88 28.8 0.054 0 0 1
"189" 1985 7 8 28.29 28.9 28.71 0.7273 0 0 1
"190" 1985 7 9 28.28 28.96 28.49 0.442 0 0 0
"191" 1985 7 10 27.81 28.91 28.46 0.41 0 0 0
"192" 1985 7 11 27.81 28.84 28.46 0.4627 0 0 0
"193" 1985 7 12 28.09 29.4 29.36 0.578 0 0 0
"194" 1985 7 13 27.51 29.42 29.3 0.5667 0 0 0
"195" 1985 7 14 27.14 29.26 29.13 0.419 0 0 0
"196" 1985 7 15 27.1 29.37 29.12 0.4 0 0 0
"197" 1985 7 16 27.56 29.4 29.13 0.4384 0 0 0
"198" 1985 7 17 27.56 28.67 28.59 0.1635 0 0 0
"199" 1985 7 18 27.78 28.55 28.43 -0.2648 0 0 0
"200" 1985 7 19 27.26 28.5 28.41 -0.2665 0 0 0
"201" 1985 7 20 27.41 28.81 28.69 3e-04 0 0 0
"202" 1985 7 21 27.15 28.62 28.34 -0.3397 0 0 0
"203" 1985 7 22 26.71 28.52 28.24 -0.4735 0 0 0
"204" 1985 7 23 26.49 28.64 28.26 -0.3481 0 0 0
"205" 1985 7 24 27.05 28.58 28.23 0.0129 0 0 0
"206" 1985 7 25 27.39 28.63 28.47 0.25 0 0 0
"207" 1985 7 26 27.6 28.74 28.51 0.2158 0 0 0
"208" 1985 7 27 27.71 29.1 28.96 0.3813 0 0 0
"209" 1985 7 28 28.04 29.64 29.45 0.859 0.1 0 1
"210" 1985 7 29 27.82 29.33 29.07 0.4774 0 0 1
"211" 1985 7 30 26.98 29.36 29.19 0.5071 0 0 1
"212" 1985 7 31 27.15 29.1 28.92 0.3342 0 0 1
"213" 1985 8 1 27.85 29.08 28.96 0.2787 0 0 1
"214" 1985 8 2 28.2 29.11 28.87 0.7042 0 0 1
